name,params,Error,P-Value
moyal,"(337.1323990050376, 214.60076631356833)",7697761005.470982,7.897587769176053e-73
halfcauchy,"(56.999999999974435, 334.03951126971003)",7697761041.820544,3.653065894629509e-71
hypsecant,"(437.48967141152093, 351.8124654942598)",7697761187.400668,2.5531186316304266e-70
beta,"(0.7982600946462448, 662.6834871050896, 56.99999999999999, 462810.3000369733)",7697756962.973909,7.205977617555484e-66
norminvgauss,"(37.874025024573314, 37.86744356783146, -0.15461035968034784, 12.638189614684087)",7697760994.172205,1.351718485784614e-62
invgauss,"(1.4332776013600372, 0.6995712051897887, 472.7649896814121)",7697760994.355855,2.1082107564412578e-62
gengamma,"(1.1571271761899307, 0.7452030500512278, 56.99999999999999, 402.1878255095189)",7697760481.9419155,1.1800432159837071e-61
weibull_min,"(0.7935499080588566, 56.99999999999999, 496.62048178108427)",7697755142.025127,4.217807858859268e-60
wald,"(-21.084894971574286, 656.2360544995242)",7697760979.646628,1.3093922034915237e-57
halfgennorm,"(0.6011328550424593, 56.99999999978891, 184.62413552541625)",7697760966.636867,2.140391476740207e-53
lomax,"(3.8243856196173844, 56.9999990958523, 1447.253200686786)",7697760952.417891,7.399864695406135e-53
genpareto,"(0.25090522551912, 56.89689925407447, 382.3835638135288)",7697760952.323519,1.1674632462459717e-51
gilbrat,"(29.447263806871767, 343.0944644617007)",7697760968.268778,3.163837485569657e-36
gennorm,"(0.45684876012322184, 389.00000003717525, 34.99337020034097)",7697761122.413896,1.2622331849471658e-30
dweibull,"(0.6606631456358389, 430.00000000000006, 249.67553603151387)",7697474115.407136,5.2200907083501316e-30
johnsonsb,"(8.469354333830811, 1.1933173041882033, 5.703760764088679, 458720.48328314244)",7697760954.562505,4.803813525804153e-27
lognorm,"(0.8368641193843205, 5.475216427240624, 378.86490565587883)",7697760954.474631,7.103533098080464e-27
powerlognorm,"(0.23143487118842995, 0.441566915820289, -39.08216939429315, 205.2617802792764)",7697760955.23763,1.9673009392788112e-26
cauchy,"(411.53394580091424, 145.65943795657628)",7697761098.27869,4.00336585787706e-25
exponweib,"(286.5995506621591, 0.3030801811260475, -83.05399872833374, 1.2685369093708259)",7697760955.886364,5.684115591666141e-24
kappa3,"(3.3705738563590355, 56.99999998915038, 437.9695118936871)",7697760932.249783,2.0844730408717975e-20
ncf,"(7.293246487018175, 6.978295813750243, 3.7410932394929444, -1.1160653077124851, 251.1650952658229)",7697760951.71171,2.4081286387000557e-20
foldcauchy,"(2.010948576685685, 56.99999996825176, 164.67809920525082)",7697760993.506037,5.916463710724744e-20
betaprime,"(6.107393843349875, 3.5981869141081226, -36.22027092030906, 239.60265974485105)",7697760951.362845,1.3419825459644397e-19
f,"(166.6764240583194, 7.037256058182994, -115.55146356915586, 459.399399809212)",7697760951.637964,7.84864177759386e-19
invgamma,"(3.521628956387705, -124.7003407988314, 1641.449590765078)",7697760951.631999,8.410599638362568e-19
geninvgauss,"(-3.5391887729853515, 0.10464046688438716, -125.44630595447427, 31625.25983692601)",7697760951.523909,9.997572592459977e-19
genextreme,"(-0.31387008127540406, 309.3630491626652, 214.93960236999322)",7697760953.359441,8.821907578922741e-18
loglaplace,"(1.809572021375859, -1.1412440941954478, 420.14126630671285)",7697760967.89307,5.082504806533549e-15
tukeylambda,"(-0.43784067352506545, 418.32962323688514, 88.67889570414543)",7697761029.760353,2.580823167598766e-14
skewcauchy,"(0.24497343389699072, 354.0336658915048, 142.43380374822132)",7697761075.061235,1.0732934400331252e-13
burr12,"(2.371153849707553, 1.1536233795259063, -0.047001265342034526, 433.12708886040593)",7697760948.997773,1.655636830313079e-12
t,"(2.0781087645428977, 421.44283452769764, 177.35098699625993)",7697761017.922127,3.3943442717255206e-12
nct,"(2.850510766835437, 2.3510549868421906, -1.2954708701086273, 154.13333629690032)",7697760960.639151,4.425336614205618e-12
fisk,"(2.808655670499994, -40.48905586936553, 443.77877486630655)",7697760949.650296,1.9028937210948273e-11
johnsonsu,"(-0.4943132844057978, 0.8570398350582104, 319.84033467903845, 151.1495007669196)",7697761001.258046,4.794543440520625e-09
mielke,"(1.9139796953886092, 3.210685040127263, -5.492212907804654, 526.7269513013518)",7697760942.873039,1.0803109190153962e-07
burr,"(3.21305870140226, 0.5863327867596502, -3.079004109005397, 528.114232392548)",7697760942.728901,1.1646152055579965e-07
