name,params,Error,P-Value
moyal,"(167.83595636407364, 43.88807828320468)",654302095.8470492,2.498094449239795e-35
gennorm,"(1.254011851096911, 215.60104678088612, 86.60333191767646)",654302106.5267655,2.724575700950803e-34
skewnorm,"(7.415238945185649, 103.75105221874759, 150.67062163664298)",654302095.4709622,1.3099916253451298e-32
hypsecant,"(214.47484458298274, 56.813390297211)",654302107.7066283,3.5428703417034705e-32
dweibull,"(1.1891843157119655, 215.4518488914882, 70.80263184257132)",654302106.2287868,1.4542717143536484e-30
nakagami,"(0.9084806623716746, 62.8831958312836, 184.346074835725)",654302097.8355677,2.178500580482125e-29
dgamma,"(1.4034929295056933, 215.44492570245325, 47.46629356984278)",654302107.4345425,4.805023236004638e-28
tukeylambda,"(-0.06576820237230249, 214.20260675244396, 42.94889068915935)",654302107.794225,8.303328135482895e-28
logistic,"(215.30803737101024, 47.143354458139335)",654302105.8557346,1.9484821380725503e-26
rayleigh,"(61.200528868721534, 131.3765595734071)",654302098.72685,4.362930869204394e-26
rice,"(0.00015843947468578473, 61.200529957538336, 131.37655548822553)",654302098.726851,4.363051977257087e-26
invweibull,"(30.351318578130254, -1868.0614317160157, 2048.6947323114855)",654302097.7916378,9.942150073890692e-26
genextreme,"(-0.03294692593236332, 180.6333315297643, 67.4994725453733)",654302097.7916178,9.951960065756446e-26
johnsonsb,"(9.270286027945453, 2.5422965258830494, -3.404286035255435, 8220.133681032308)",654302098.1745726,4.987436300558314e-24
johnsonsu,"(-7.992732305704898, 2.6995846578747082, -7.6257883201408525, 22.1660756396289)",654302098.309195,1.0183734273320557e-23
nct,"(8.122838422448218, 3.835544420983932, -0.18334008582125433, 52.13230164109734)",654302098.8313415,1.6508352707127856e-23
fisk,"(4.514204543841474, -0.6566358313717005, 208.40575978860772)",654302098.4186699,1.938228458444103e-23
invgamma,"(14.245414796462775, -87.02904579923347, 4080.9194322046214)",654302098.5023328,2.6047098934214513e-23
norminvgauss,"(39.63743088091583, 39.119549390256026, -0.3222773482016853, 36.18861579293026)",654302097.8403182,2.659546099507834e-23
f,"(24.295247166885613, 33.02365228102336, -1.3869372725142077, 209.0031233273835)",654302098.4280152,3.277057475516759e-23
betaprime,"(12.210912586671192, 16.50662118769608, -1.6842876941111367, 282.89908499717643)",654302098.4290831,3.443219142388417e-23
exponweib,"(5.745808139504268, 1.0601893556578532, 32.585207179537946, 83.0681448228871)",654302097.6933231,5.14413963104688e-23
alpha,"(6.014474643383435, -257.1508139705435, 2790.8839431603465)",654302098.9178438,9.134516778920267e-23
maxwell,"(23.880665807410658, 126.31384946064706)",654302098.9161401,5.19864127672656e-22
burr,"(5.545966374813388, 0.6252413273750338, -1.0624453265545881, 242.06853550010433)",654302100.2900186,5.83262007406133e-22
mielke,"(3.4635449615040654, 5.54590421893238, -0.9487989340357197, 242.0310177440407)",654302100.2942795,5.846529912083767e-22
recipinvgauss,"(0.010994628087268352, -571.0769391468934, 8.641324618458768)",654302099.8660702,2.2354524787770825e-21
gumbel_r,"(181.91638731108117, 68.33164298921365)",654302098.2813809,2.3556532859166827e-20
genlogistic,"(492.04467344316356, -240.9989785003727, 68.2460527199402)",654302098.2954814,2.769743127234459e-20
kstwobign,"(-69.80638746777149, 337.570481612761)",654302097.346778,2.874975638537229e-20
beta,"(3.460433961565192, 121245033483.3024, 55.8332894850528, 5806904914139.162)",654302097.9255185,5.067640521946436e-19
geninvgauss,"(3.560429673782342, 0.6607176419935773, 52.628712845341916, 15.474020967729082)",654302098.0936801,5.2753269345244415e-19
erlang,"(3.5674048591045517, 54.40875907560153, 46.79498066426602)",654302098.0980563,5.656484089203052e-19
pearson3,"(1.0588913424041282, 221.34570900368857, 88.3840956505511)",654302098.0980992,5.675551930236612e-19
gamma,"(3.567442585634928, 54.40869554968139, 46.79459424976296)",654302098.0980955,5.676103085616612e-19
exponnorm,"(1.3523336931088241, 151.77928016567654, 51.441771937604415)",654302099.0301273,5.659288025300745e-18
burr12,"(3.8876422244238764, 1.767362072792963, -0.012736031738584758, 254.2277803592027)",654302100.1354117,3.0222291997018246e-16
chi,"(11.321042777484337, -161.79793500382334, 116.13524651595804)",654302100.9820135,5.477163905949939e-16
