name,params,Error,P-Value
chi,"(5.008008106714513, 278.8586864195144, 426.98401255670206)",11898712673.126919,1.1362862078738058e-49
gennorm,"(0.9512426863649053, 1118.9999999972943, 197.80891852419956)",11898712686.770016,1.5827257239064199e-47
laplace,"(1121.0, 213.07493638676846)",11898712685.474241,6.170445613941702e-47
dweibull,"(1.027079349485883, 1124.4092964366237, 215.66513921110374)",11898712683.258554,4.14945167620735e-45
skewcauchy,"(0.46284752540478147, 991.3100757981338, 138.65595257446915)",11898712724.134235,5.927139664515237e-45
dgamma,"(1.1252125966470379, 1126.5406470530875, 189.40876703551646)",11898712679.583553,2.7519695596037703e-42
skewnorm,"(6.74566645970174, 818.853895680209, 496.6751556585334)",11898712672.122238,1.6530986027266378e-41
hypsecant,"(1135.8482321306399, 181.77899359403443)",11898712679.769356,6.637499598028834e-35
logistic,"(1146.18021617162, 153.4740729786914)",11898712677.175781,2.035644757153722e-30
kstwobign,"(236.8626720395397, 1107.8072275794095)",11898712674.786812,1.7931123794829036e-25
invgauss,"(0.1909144054325248, 448.10250075730846, 3846.806294117796)",11898712681.40037,2.558898556872277e-21
foldcauchy,"(3.398649840356155, 631.9999818514239, 136.25957422781232)",11898712705.019226,3.510911375977983e-20
loglaplace,"(5.727931270684088, -0.11694877433238526, 1121.1169656422053)",11898712683.826174,2.0079079685472948e-17
laplace_asymmetric,"(0.5493753496942384, 972.0000000088103, 166.15173084229045)",11898712683.233978,6.598819362948596e-12
beta,"(3.659529923455241, 6696160787.13813, 627.5858015170102, 1021447329445.728)",11898712678.466022,6.148734280311687e-11
betaprime,"(559.8722719821262, 20.74203443179556, -2.444367559338952, 41.69560680462918)",11898712678.828306,3.65532860804162e-10
chi2,"(7.6317541798073325, 625.5631106995004, 73.06246932080091)",11898712678.696512,1.1262637364846043e-08
geninvgauss,"(3.813495335248078, 0.2994597113745745, 624.5398618538813, 21.887481896665257)",11898712678.697372,1.1363427087672424e-08
burr,"(5.192582047738961, 6679.453459535573, -10.412718072145672, 191.337867857859)",11898712678.119566,2.311176122704972e-08
erlang,"(5.1423254367006095, 558.6558340449783, 117.973477500478)",11898712682.413744,2.743586782849673e-06
fatiguelife,"(0.4345009433974195, 522.5945801576082, 603.6888935797222)",11898712678.709438,9.435345720219232e-05
genlogistic,"(764.0612852832492, -356.67648975373254, 212.6273311756737)",11898712679.442793,0.00018808157054376823
gumbel_r,"(1054.5698615837964, 212.3679776053794)",11898712679.502745,0.0002801757108855489
exponweib,"(23.853298637941855, 0.7609070463302752, 525.8266780459634, 111.6338963891939)",11898712680.096378,0.00037430437979445733
johnsonsb,"(11.05232032025237, 2.2739504503145627, 541.3747176919358, 75588.68242176503)",11898712679.590824,0.004631849379623465
exponnorm,"(2.460097462365463, 907.5247524295208, 112.0415268038377)",11898712679.53143,0.006192187141656126
f,"(79513.6407855133, 18.450339526000114, 383.36675379731764, 710.7063350657619)",11898712679.65731,0.026407642746864024
invgamma,"(9.225604374842828, 383.2741243349543, 6557.4712658948165)",11898712679.657738,0.026420776768645626
genextreme,"(-0.09919740286830361, 1042.8153291902172, 203.76103377537578)",11898712679.525797,0.03468650367035142
johnsonsu,"(-2.046247591595505, 1.7066112405078786, 780.3741531081204, 223.69019687777543)",11898712679.68968,0.099594933693539
fisk,"(3.9018963765238386, 570.8727931112595, 549.7344349329767)",11898712680.05082,0.13651439218347994
mielke,"(39378.03676011054, 5.9380440952028515, -161.56907761106237, 271.7284156975021)",190929909.0,nan
pearson3,"(1.0238416798049044, 1183.1578689144558, 285.44437841804904)",11898712678.696522,1.1263367189276402e-08
nct,"(11.039374115277596, 23.8004428949521, 0.9264630886505278, 46.24156392714019)",11898712678.514324,2.2022069424117138e-06
recipinvgauss,"(0.20515374343494286, 531.8179597751307, 110.87782507110236)",11898712678.694708,8.267994203529108e-05
moyal,"(1013.1342135885776, 135.86240786497746)",11898712678.736301,0.00022088218891853627
alpha,"(4.660000872949016, 9.876429030702578, 5173.5104519130855)",11898712679.924273,0.2341519827497538
