name,params,Error,P-Value
crystalball,"(3374.83689039009, 8791.689322712096, 88.98582868983507, 99.930244826988)",867850271.2202069,0.0
argus,"(9.047658437304126e-08, -11570.352274193265, 26847.508953249046)",867850358.0449338,0.0
foldcauchy,"(1.244340903467251, 4.999999998921098, 41.94712700143188)",867850194.0925833,9.87173536e-316
mielke,"(1.1444644961684345, 3.2585841361565393, 4.992628592885664, 130.18809042020746)",867850191.574998,3.2825605708512345e-293
halfgennorm,"(1.264644479525302, 4.999999999980574, 109.80369104430795)",867850183.123069,4.927355583713587e-271
wald,"(1.3888754917383428, 91.98024271301077)",867850188.2838904,2.452068648581908e-235
moyal,"(51.50255417732066, 27.37740278923242)",867850191.5148124,3.117878821110821e-218
halflogistic,"(4.999999999880817, 59.80722723555207)",867850183.790093,1.532853329206505e-181
foldnorm,"(0.000922137719147, 4.999999999933854, 110.57951544934761)",867850189.1019545,3.397664458426824e-172
gilbrat,"(4.92288211870015, 60.0363207512868)",867850190.2167891,7.853663714682997e-160
invgauss,"(0.664015970468109, -3.8267179967016327, 139.77456740182356)",867850188.305249,7.477721620252502e-153
johnsonsu,"(-6.47834245786574, 1.2742576638330418, 0.6629375730756453, 0.8191012773825426)",867850188.8065157,1.7675015258294301e-146
johnsonsb,"(10.017543138700777, 1.2739061794124822, 0.659292027434762, 172040.8730875554)",867850188.8034312,3.283350305031119e-146
genexpon,"(0.9905532995696898, 2.7183692280312557, 1.853249350387403, 4.999999999987002, 180.57057197959523)",867850186.9801917,9.233814537862248e-146
fatiguelife,"(0.8206946732030156, -0.21818776371507043, 66.61352482592307)",867850187.6719145,8.658320653553923e-144
genextreme,"(-0.3231002438848778, 52.81859605762203, 37.80329462530989)",867850190.0830525,5.498162223996583e-138
invgamma,"(3.5322250506040946, -22.33524163156239, 287.85897226748136)",867850189.525536,9.6372785136071e-135
laplace_asymmetric,"(0.2004395676804811, 17.000000002924853, 15.03277848224475)",867850184.8365108,3.68694201306585e-133
fisk,"(1.982481974436856, 4.809432562850181, 62.5762046503293)",867850191.3986295,3.932101267471854e-133
exponnorm,"(20.30508209691343, 14.514515442182706, 3.667620195686185)",867850184.8756518,2.8887425850804485e-129
