1.0548,1.9065,2.4549,1.704
1.7512,2.8144,2.5074,0.7342
1.882e-05,3.2904e-05,2.901e-05,1.3181e-05
1.6869,2.7134,2.4288,0.71118
0.061827,0.08983,0.023419,-0.0016405
0.34575,0.44678,0.4272,0.39632
-0.2368,-0.23553,0.059319,0.32172
-0.00018902,-0.00031273,-0.00031353,-0.00014131
2.671e-05,6.0138e-05,4.3756e-05,1.1882e-05
4.2271e-05,5.957e-05,5.5669e-05,3.9914e-05
1.9698e-06,4.0775e-06,1.1974e-06,-1.2081e-06
-2.3905e-05,-3.1221e-05,-3.0919e-05,-2.4498e-05
7.7602e-05,0.00012977,0.00012242,5.985e-05
-0.12099,-0.19526,-0.20312,-0.088878
-0.35539,-0.63963,-0.84995,-0.57154
-0.17626,-0.14334,0.20603,0.27885
-0.66863,-0.90303,-0.27626,0.45664
-0.13427,-0.29259,-0.46744,-0.31617
