26.734,75.17,46.23,73.521
1.0794,0.35995,5.7926,0.065328
4.5852e-05,0.00033255,0.00012684,0.00022232
1.1518,-0.36685,5.8467,-0.47564
-0.24367,0.22641,1.8257,-0.06841
2.1284,0.52138,0.92823,0.40716
-0.6166,0.21494,2.4895,0.22917
1.616e-05,0.00016813,0.00015268,9.5882e-05
-2.2611e-05,-0.00031476,-0.00017814,-0.00021625
0.00010517,0.0006916,7.6417e-05,0.0004854
-0.00011603,-0.00083572,-7.096e-05,-0.00058115
-9.6578e-07,7.2029e-05,-9.4015e-05,8.0537e-05
-1.4078e-06,0.00012696,-0.000134,0.00012742
1.7842,1.9546,13.237,1.068
-2.5332,-2.1318,-14.653,-1.9444
0.25949,-0.049611,-1.3826,0.12463
2.7176,-3.2422,-4.6564,-0.52556
-1.5777,-1.6264,-9.2458,-0.75121
